dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
DOWGEN_4_8,DOWGEN_138KV_15,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,6,,,,,,,,,,0.0,
DOWGEN_1_8,DOWGEN_138KV_6,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,6,,,,,,,,,,0.0,
DOWGEN_2_8,DOWGEN_138KV_6,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,6,,,,,,,,,,0.0071538945802094725,
WEC_1_8,WEC_69KV_1,anchor,1.0,transformer_impedance,69,E_MOTLEY   ,NOTH,1,,,,,,,,,,0.0,
SWEETWND_1_5,SWEETWND_345KV_1,anchor,1.0,transformer_impedance,345,E_NOLAN    ,WEST,6,,,,,,,,,,0.0,
SWEETWN2_1_5,SWEETWN2_345KV_1,anchor,1.0,transformer_impedance,345,E_NOLAN    ,WEST,6,,,,,,,,,,0.0,
SWEETWN2_2_8,SWEETWN2_138KV_2,anchor,1.0,transformer_impedance,138,E_NOLAN    ,WEST,4,,,,,,,,,,0.0,
SWEETWN4_1_5,SWEETWN4_345KV_1,anchor,1.0,transformer_impedance,345,E_NOLAN    ,WEST,6,,,,,,,,,,0.0,
SWEETWN5_5,SWEETWN5_345KV_1,anchor,1.0,transformer_impedance,345,E_NOLAN    ,WEST,6,,,,,,,,,,0.0,
SWEETWN3_1_5,SWEETWN3_345KV_1,anchor,1.0,transformer_impedance,345,E_NOLAN    ,WEST,6,,,,,,,,,,1.0454673761915716e-05,
SWEETWN3_2_8,SWEETWN3_138KV_1,anchor,1.0,transformer_impedance,138,E_NOLAN    ,WEST,4,,,,,,,,,,1.0454673761915716e-05,
CAPRIDG4_1_5,CAPRIDG4_345KV_1,anchor,1.0,transformer_impedance,345,E_COKE     ,WEST,2,,,,,,,,,,0.0,
L_CUERO_9_1Y,CUERO_69KV_1,anchor,1.0,transformer_impedance,69,DEWITT     ,SCEN,0,,,,,,,,,,0.0,
L_CUERO_8_1Y,CUERO_138KV_1,anchor,1.0,transformer_impedance,138,DEWITT     ,SCEN,0,,,,,,,,,,0.0,
LARDVFT4A,LARDVFT_138KV_1,anchor,1.0,transformer_impedance,138,WEBB_COUNTY,SOUT,2,,,,,,,,,,0.0,
LOBO7A,LOBO_345KV_1,anchor,1.0,transformer_impedance,345,WEBB_COUNTY,SOUT,2,,,,,,,,,,0.0,
LOBO4A,LOBO_138KV_1,anchor,1.0,transformer_impedance,138,WEBB_COUNTY,SOUT,1,,,,,,,,,,0.0,
B_DAVIS_2_8,B_DAVIS_138KV_4,anchor,1.0,transformer_impedance,138,E_NUECES   ,SOUT,6,,,,,,,,,,0.0,
